timestamp,amount,merchant,location,device,is_fraud
2025-01-05 23:53:50,37.54,eBay,WA,Desktop,0
2025-01-13 15:00:29,240.81,eBay,CA,Tablet,0
2025-01-01 01:15:26,105.34,Target,CA,Tablet,0
2025-01-21 02:38:08,73.04,eBay,FL,Mobile,0
2025-01-20 16:22:27,13.57,BestBuy,TX,Desktop,0
2025-01-30 12:02:27,13.57,eBay,NY,Mobile,0
2025-01-18 03:23:10,4.79,BestBuy,TX,Tablet,0
2025-01-24 22:04:01,160.9,eBay,CA,Mobile,0
2025-01-23 20:42:36,73.53,BestBuy,WA,Tablet,0
2025-01-29 11:31:00,98.5,eBay,NY,Desktop,0
2025-01-29 08:25:48,1.66,eBay,NY,Mobile,0
2025-01-25 17:21:31,280.28,Walmart,WA,Mobile,0
2025-01-26 06:28:30,142.91,BestBuy,NY,Mobile,0
2025-01-27 19:52:49,19.1,BestBuy,WA,Mobile,1
2025-01-08 01:01:22,16.05,BestBuy,NY,Desktop,0
2025-01-11 17:48:33,16.21,Amazon,TX,Tablet,0
2025-01-22 06:29:50,29.02,eBay,NY,Tablet,0
2025-01-26 22:05:08,59.51,BestBuy,FL,Desktop,0
2025-01-09 03:31:51,45.24,Amazon,WA,Tablet,0
2025-01-01 08:45:24,27.54,Walmart,NY,Mobile,0
2025-01-12 03:54:48,75.71,BestBuy,WA,Desktop,0
2025-01-30 14:34:47,12.02,BestBuy,FL,Tablet,0
2025-01-12 18:43:43,27.64,Amazon,NY,Desktop,0
2025-01-23 00:48:42,36.5,eBay,NY,Desktop,0
2025-01-11 03:12:09,48.71,Walmart,FL,Tablet,0
2025-01-27 01:41:21,123.03,BestBuy,FL,Tablet,0
2025-01-06 22:39:10,17.82,eBay,FL,Desktop,0
2025-01-28 13:21:14,57.76,Walmart,WA,Desktop,0
2025-01-16 07:00:31,71.8,Target,FL,Tablet,0
2025-01-27 21:34:55,3.81,Target,WA,Desktop,0
2025-01-10 04:04:12,74.83,Walmart,TX,Tablet,0
2025-01-07 23:28:45,14.96,Amazon,NY,Desktop,0
2025-01-07 18:11:48,5.38,Walmart,NY,Desktop,0
2025-01-11 01:49:24,237.9,Walmart,CA,Desktop,0
2025-01-25 05:44:59,269.65,Amazon,TX,Tablet,0
2025-01-22 12:43:33,132.19,Amazon,FL,Mobile,0
2025-01-01 01:05:42,29.06,eBay,FL,Tablet,0
2025-01-23 11:31:36,8.22,eBay,TX,Desktop,0
2025-01-04 16:08:01,92.22,Amazon,FL,Mobile,0
2025-01-07 05:42:30,46.41,Target,CA,Mobile,0
2025-01-05 15:52:08,10.41,Target,WA,Desktop,0
2025-01-18 09:25:37,54.68,Walmart,NY,Tablet,0
